Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,29001,29002,,,,,,,,,,,,,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+COMDIS:D:17A:UN:1.0f,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+456+12345
BGM+739+12345","456 Belastungsanzeige
739 MSCONS, die eine INVOIC unterstützt",T,,"kategorie 1:1
dokumentennummer",,,,456,739,,,,,,,,,,,,,,,,,,,,,
0030,3,RFF,C,R,9,1,1,Prüfidentifikator,"RFF+Z13:29001
RFF+Z13:29002","29001 Ablehnung REMADV
29002 Ablehnung IFTSTA",T,,pruefidentifikator,,,,29001,29002,,,,,,,,,,,,,,,,,,,,,
0040,4,DTM,C,R,9,1,1,Dokumentendatum,DTM+137:202107302200?+00:303,CCYYMMDDHHMMZZZ,T,,nachrichtendatum,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0050,5,CUX,C,D,9,1,1,Währungsangaben,CUX+2:EUR:4,,S,handelsunstimmigkeit.zuZahlen,waehrung,,,,x,,,,,,,,,,,,,,,,,,,,,,
0060,,SG1,C,R,99,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,6,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+1234567000008::9,"9 GS1
293 DE, BDEW
332 DE, DVGW Service & Consult GmbH",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,,,,,,,,,,,,,,,,,,,,,
0080,7,CTA,C,R,1,1,2,Ansprechpartner,CTA+IC+:Mustermann,IC Informationsstelle,T,absender.ansprechpartner,nachname,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0090,8,COM,C,R,5,5,2,Kommunikationsverbindung,COM+?+3222271020:TE',"EM E-Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,,,,,,,,,,,,,,,,,,,,,
0060,,SG1,C,R,99,1,1,MP-ID Empfänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,9,NAD,M,M,1,1,1,MP-ID Empfänger,NAD+MR+1234567000008::9,"9 GS1
293 DE, BDEW
332 DE, DVGW Service & Consult GmbH",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,,,,,,,,,,,,,,,,,,,,,
0100,,SG2,C,R,9999,9999,1,Dokument-/Nachricht-Einzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110,10,DOC,M,M,1,1,1,Dokument-/Nachricht-Einzelheiten,DOC+380+12345,"380 Handelsrechnung
Z41 Lieferschein Grund- / Arbeitspreis
Z42 Lieferschein Arbeits- / Leistungspreis",S,handelsunstimmigkeit,"typ
nummer
","380 = HANDELSRECHNUNG
270 = LIEFERSCHEIN_HANDELSUNSTIMMIGKEITSTYP
Z41 = LIEFERSCHEIN_GRUND_ARBEITSPREIS
Z42 = LIEFERSCHEIN_ARBEITS_LEISTUNGSPREIS
",,,380,"270
Z41
Z42",,,,,,,,,,,,,,,,,,,,,
0130,11,MOA,C,D,2,1,2,angeforderter Betrag,MOA+9:50,,S,handelsunstimmigkeit.zuZahlen,wert,,,,x,,,,,,,,,,,,,,,,,,,,,,
0140,,SG3,C,R,9,1,2,Begründung der Korrektheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150,12,AJT,M,M,1,1,2,Begründung der Korrektheit,AJT+Z58+S_0109,"E_0265 EBD Nr. E_0265
E_0271 EBD Nr. E_0271
E_0274 EBD Nr. E_0274
E_0504 EBD Nr. E_0504
E_0516 EBD Nr. E_0516
E_0520 EBD Nr. E_0520
E_0567 EBD Nr. E_0567
E_1008 EBD Nr. E_1008
S_0108 Codeliste Strom Nr. S_0108
S_0109 Codeliste Strom Nr. S_0109","S
T","handelsunstimmigkeit.begruendung
","grund
antwortstatusCodeliste","Z58 = ANMELDUNG_BESTAETIGT
Z59 = ABRECHNUNGSBEGINN_GLEICH_BESTAETIGTEM_VERTRAGSBEGINN
Z60 = ABRECHNUNGSENDE_GLEICH_BESTAETIGTEM_VERTRAGSENDE
Z61 = NN_MSCONS_UEBERSENDET
Z62 = RICHTIGE_MESSWERTE_ENERGIEMENGEN_UEBERSENDET
28 = SONSTIGES_SIEHE_BEGRUENDUNG
A01 = GUELTIGES_PREISBLATT_VERSENDET
A02 = GUELTIGER_SPERRAUFTRAG_VORHANDEN
A03 = KORREKTE_ARTIKEL_ID_IN_RECHNUNG
A04 = KORREKTER_PREIS_ZU_GUELTIGEM_PREISBLATT_IN_RECHNUNG
A05 = RECHNUNG_KORREKT_A05
A06 = GUELTIGES_PREISBLATT_FRISTGERECHT_VERSENDET
A07 = GUELTIGE_RECHNUNG_VORHANDEN
A08 = ARTIKEL_ID_FUER_VERZUGSKOSTEN_VERWENDET
A09 = KORREKTER_PREIS_IN_RECHNUNG_ABGERECHNET
A10 = RECHNUNG_KORREKT_A10
A11 = RECHNUNG_KORREKT_A11
A12 = GUELTIGES_PREISBLATT_BLINDARBEIT_VERSENDET
A13 = KORREKTE_ARTIKEL_ID_IST_ANGEGEBEN
A14 = RECHNUNG_BREGRUENDET_KORREKT
A15 = KORREKTE_ARTIKEL_ID_FUER_ABRECHNUNG_STORNIERTER_SPERRAUFTRAG_ANGEGEBEN
A16 = ABRECHNUNG_BLINDARBEIT_SPARTE_GAS_NICHT_RELEVANT
A99 = SONSTIGES",,,x,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,13,FTX,C,D,9,1,3,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,FTX+ACD++Z07+0815:4711:110:X',"Z07 MSCONS
Z08 UTILMD
Z09 INVOIC
Z10 ORDERS
Z11 PRICAT
Z12 IFTSTA
Z13 ORDCHG",S,handelsunstimmigkeit.begruendung,"richtigkeit (ENUM)
referenzDar
referenznummer
bestaetigungDar
anerkennungsmeldung","Z07 = MSCONS
Z08 = UTILMD
Z09 = INVOIC
Z10 = ORDERS
Z11 = PRICAT
Z12 = IFTSTA
Z13 = ORDCHG",,,x,,,,,,,,,,,,,,,,,,,,,,
0160,14,FTX,C,D,9,1,3,Begründung Richtigkeit mit Angabe von Freitext,FTX+ACB+++Erläuterung der Ablehnung im Klartext,ACB Zusätzliche Informationen (für allgemeine Hinweise),S,handelsunstimmigkeit.begruendung,hinweis,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0260,15,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+47+1,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
