Nummer,Nr.,Typ,Status,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,23001,23003,23004,23008,23005,23009,23011,23012,,,,,,,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+47110815+INSRPT:D:10A:UN:1.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,BGM+4+fi3wrp823,4 Prüfbericht,T,,"kategorie
dokumentennummer",,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0030,3,DTM,C,R,9,1,1,Dokumentendatum,DTM+137:CCYYMMDDHHMMZZZ:303,,T,,nachrichtendatum,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0070,,SG2,M,R,99,1,1,MP-ID Empfänger,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0080,4,NAD,M,M,1,1,1,MP-ID Empfänger,"NAD+MR+9900259000002::9
NAD+MR+9900259000002::293
NAD+MR+9900259000002::332","9 GS1
293 DE, BDEW
332 DE, DVGW",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0070,,SG2,M,R,99,1,1,MP-ID Absender,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0080,5,NAD,M,M,1,1,1,MP-ID Absender,"NAD+MS+9900259000002::9
NAD+MS+9900259000002::293
NAD+MS+9900259000002::332","9 GS1
293 DE, BDEW
332 DE, DVGW",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0100,,SG3,M,M,99,99,1,Meldung,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0110,6,DOC,M,M,1,1,1,Dokument-/Nachricht-Einzelheiten,"DOC+21+h821nbdwi2198de
DOC+22+h821nbdwi2198de
DOC+23+h821nbdwi2198de
DOC+293+h821nbdwi2198de","21 Anfrage
22 Antwort auf Anfrage
23 Statusinformation
293 Prüfbericht",T,,vorgangsnummer,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0120,,SG4,C,R,99,1,2,Prüfidentifikator,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0130,7,RFF,M,M,1,1,2,Prüfidentifikator,"RFF+Z13:23001
RFF+Z13:23003
RFF+Z13:23004
RFF+Z13:23005
RFF+Z13:23008
RFF+Z13:23009
RFF+Z13:23011
RFF+Z13:23012","23001 WiM / Störungsmeldung vom LF/NB/MSB an MSB
23003 WiM / Ablehnung vom MSB an LF/NB/MSB
23004 WiM / Bestätigung vom MSB an LF/NB/MSB
23005 WiM / Informationsmeldung (Störungsmeldung) vom MSB an NB (Gas)/MSB (Strom)
23008 WiM / Ergebnisbericht vom MSB an LF/NB/MSB
23009 WiM / Informationsmeldung (Störungsbehebung) vom MSB an NB (Gas)/MSB (Strom)
23011 WiM / Informationsmeldung (Störungsmeldung) vom MSB der MaLo
23012 WiM / Informationsmeldung (Störungsbehebung) vom MSB der MaLo",T,,pruefidentifikator,,,,23001,23003,23004,23008,23005,23009,23011,23012,,,,,,,,,,,,,,,
0120,,SG4,C,D,99,1,2,Referenz auf Anfrage bzw. früheren Vorgang,,,,,,,,,Muss,Muss,Muss,Muss,,Muss,,Muss,,,,,,,,,,,,,,,
0130,8,RFF,M,M,1,1,2,Referenzangaben,"RFF+AAV:bdöoip9rc2hro8982c
RFF+TN:bdöoip9rc2hro8982c","AAV Nummer der Anfrage
TN Transaktions-Referenznummer",T,,anfragereferenznummer,,,,"AAV
","AAV
","
TN",,,"
TN",,"
TN",,,,,,,,,,,,,,,
0150,,SG5,C,D,99,1,2,Ansprechpartner beim Nachrichtenabsender,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,
0160,9,NAD,M,M,1,1,2,Ansprechpartner beim Nachrichtenabsender,"NAD+MS+9900259000002::9
NAD+MS+9900259000002::293
NAD+MS+9900259000002::332","9 GS1
293 DE, BDEW
332 DE, DVGW",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,,,,,,,,,,,,,,,,,,,,,,
0170,,SG6,C,R,99,1,3,Ansprechpartner,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,
0180,10,CTA,M,M,1,1,3,Ansprechpartner,CTA+IC+:B. Zweistein,IC Informationskontakt,T,absender.ansprechpartner,nachname,,,,x,,,,,,,,,,,,,,,,,,,,,,
0190,11,COM,C,R,99,5,4,Kommunikationsverbindung,COM+004398989198:FX,"EM E-Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,,,,,,,,,,,,,,,,,,,,,,
0150,,SG5,C,D,99,1,2,Ansprechpartner beim Kunden,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,
0160,12,NAD,M,M,1,1,2,Ansprechpartner beim Kunden,NAD+CC,CC Anspruchsteller,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
0170,,SG6,C,R,99,1,3,Ansprechpartner,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,
0180,13,CTA,M,M,1,1,3,Ansprechpartner,CTA+IC+:B. Zweistein,IC Informationskontakt,T,ansprechpartnerKunde,nachname,,,,x,,,,,,,,,,,,,,,,,,,,,,
0190,14,COM,C,R,99,5,4,Kommunikationsverbindung,COM+004398989198:FX,"EM E-Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,ansprechpartnerKunde,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,,,,,,,,,,,,,,,,,,,,,,
0200,,SG7,C,R,999,999,2,LIN-DTM-DTM-DTM-DTM-STS-STS-FTX-SG8,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0210,15,LIN,M,M,1,1,2,Positionsdaten,LIN+1,,S,statusmitteilung.positionsdaten,positionsnummer,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0240,16,DTM,C,D,99,1,3,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,"DTM+9:20221215:102
DTM+9:201112241830?+01:303",Bearbeitungs-/Verarbeitungsdatum/-zeit,S,statusmitteilung.positionsdaten,bearbeitungsdatum,,,,,,,x,,Soll,,Soll,,,,,,,,,,,,,,,
0240,17,DTM,C,D,99,1,3,Beginn des Geräte-Status,"DTM+163:20111224:102
DTM+163:201112241830?+01:303","Verarbeitung, Beginndatum/-zeit",S,statusmitteilung.positionsdaten,verwendungAb,,,,Kann,Kann,Kann,x,Kann,Kann,Kann,Kann,,,,,,,,,,,,,,,
0240,18,DTM,C,D,99,1,3,Ende des Geräte-Status,"DTM+164:20111224:102
DTM+164:201112241830?+01:303","Verarbeitung, Endedatum/-zeit",S,statusmitteilung.positionsdaten,verwendungBis,,,,,,,x,,x,,x,,,,,,,,,,,,,,,
0240,19,DTM,C,D,99,1,3,Ende des Zustands,"DTM+292:20111224:102
DTM+292:201112241830?+01:303","Datum/Zeit der abgeschlossenen Leistung (Arbeit), geplant",S,statusmitteilung.positionsdaten,enddatum,,,,,,x,,x,,x,,,,,,,,,,,,,,,,
