AHB,Prüfidentifikator,Templater Status,Notizen
,,,
IFTSTA AHB,21040,Test / Fertig,
IFTSTA AHB,21039,Test / Fertig,
API-Webdienste zur Ermittlung der MaLo-ID der Marktlokation,--,,
UTILMD AHB Strom,55016,Test / Fertig,
UTILMD AHB Strom,55017,Test / Fertig,
UTILMD AHB Strom,55018,Test / Fertig,
--,--,,
UTILMD AHB Strom,55001,Test / Fertig,
UTILMD AHB Strom,55077,Test / Fertig,
UTILMD AHB Strom,55036,Test / Fertig,
UTILMD AHB Strom,55010,Test / Fertig,
UTILMD AHB Strom,55011,Test / Fertig,
UTILMD AHB Strom,55012,Test / Fertig,
UTILMD AHB Strom,55002,Test / Fertig,
UTILMD AHB Strom,55078,Test / Fertig,
UTILMD AHB Strom,55003,Test / Fertig,
UTILMD AHB Strom,55080,Test / Fertig,
UTILMD AHB Strom,55037,Test / Fertig,
UTILMD AHB Strom,55038,Test / Fertig,
UTILMD AHB Strom,55013,Test / Fertig,
UTILMD AHB Strom,55014,Test / Fertig,
UTILMD AHB Strom,55015,Test / Fertig,
UTILMD AHB Strom,55004,Test / Fertig,
UTILMD AHB Strom,55005,Test / Fertig,
UTILMD AHB Strom,55006,Test / Fertig,
UTILMD AHB Strom,55218,Test / Fertig,
UTILMD AHB Strom,55220,Test / Fertig,
IFTSTA AHB,21047,Test / Fertig,
UTILMD AHB Strom,55126,Test / Fertig,
UTILMD AHB Strom,55672,Test / Fertig,
UTILMD AHB Strom,55156,Test / Fertig,
UTILMD AHB Strom,55673,Test / Fertig,
UTILMD AHB Strom,55613,Test / Fertig,
UTILMD AHB Strom,55674,Test / Fertig,
UTILMD AHB Strom,55614,,"Anmerkung Nik: Prüfi wird nur aus Rolle ÜNB gesendet, diese Rolle bilden wir (noch) nicht ab."
UTILMD AHB Strom,55675,,"Anmerkung Nik: Prüfi wird nur aus Rolle ÜNB gesendet, diese Rolle bilden wir (noch) nicht ab."
ORDERS  ,17134,Test / Fertig,
ORDERS  ,17135,Test / Fertig,
UTILMD AHB Strom,55616,Test / Fertig,
UTILMD AHB Strom,55622,Test / Fertig,
UTILMD AHB Strom,55628,Test / Fertig,
UTILMD AHB Strom,55634,Test / Fertig,
UTILMD AHB Strom,55688,Test / Fertig,
UTILMD AHB Strom,55689,,"Anmerkung Nik: Prüfi wird nur aus Rolle ÜNB gesendet, diese Rolle bilden wir (noch) nicht ab."
UTILTS AHB zur Berechnungsformel,25001,Test / Fertig,
UTILTS AHB zur Berechnungsformel,25002,,Anmerkung Nik: Prüfi entfällt in 04/2025
UTILTS AHB zur Berechnungsformel,25003,,Anmerkung Nik: Prüfi entfällt in 04/2025
UTILTS AHB zur Berechnungsformel,25010,Test / Fertig,
ORDERS  ,17133,Test / Fertig,
ORDRSP,19133,Test / Fertig,
UTILMD AHB Strom,55007,Test / Fertig,
UTILMD AHB Strom,55008,Test / Fertig,
UTILMD AHB Strom,55009,Test / Fertig,
UTILMD AHB Strom,55173,Test / Fertig,
UTILMD AHB Strom,55175,WIP,https://conuti.atlassian.net/browse/MACO-10644
UTILMD AHB Strom,55177,Test / Fertig,
UTILMD AHB Strom,55180,WIP,https://conuti.atlassian.net/browse/MACO-10645
UTILMD AHB Strom,55225,Test / Fertig,
UTILMD AHB Strom,55227,Test / Fertig,
UTILMD AHB Strom,55611,Test / Fertig,
UTILMD AHB Strom,55615,Test / Fertig,
UTILMD AHB Strom,55617,Test / Fertig,
UTILMD AHB Strom,55618,Test / Fertig,
UTILMD AHB Strom,55619,Test / Fertig,
UTILMD AHB Strom,55620,Test / Fertig,
UTILMD AHB Strom,55621,Test / Fertig,
UTILMD AHB Strom,55623,Test / Fertig,
UTILMD AHB Strom,55624,Test / Fertig,
UTILMD AHB Strom,55625,Test / Fertig,
UTILMD AHB Strom,55626,Test / Fertig,
UTILMD AHB Strom,55627,Test / Fertig,
UTILMD AHB Strom,55629,Test / Fertig,
UTILMD AHB Strom,55630,Test / Fertig,
UTILMD AHB Strom,55632,Test / Fertig,
UTILMD AHB Strom,55633,Test / Fertig,
UTILMD AHB Strom,55635,Test / Fertig,
UTILMD AHB Strom,55636,Test / Fertig,
UTILMD AHB Strom,55638,Test / Fertig,
UTILMD AHB Strom,55640,Test / Fertig,
UTILMD AHB Strom,55650,Test / Fertig,
UTILMD AHB Strom,55660,Test / Fertig,
UTILMD AHB Strom,55684,Test / Fertig,
UTILMD AHB Strom,55691,Test / Fertig,
UTILMD AHB Strom,55692,Test / Fertig,
