Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,13017,13019,13016,13015,13002,13009,13018,13025,13008,13010,13011,13012,13003,13023,13005,13026,13020,13022,13021,13007,13013,13014,13006
,2,UNB,,,,,,,UNB+UNOC:3+9900051000002:500+9904079000002:500+230130:1925+SEBAS743670271++VL',,T,,typ 1:1,,,,VL,EM,EM,EM,EM,VL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,EM,EM,"EM
VL"
0010,3,UNH,M,M,1,1,0,Nachrichtenkopfsegment,UNH+4+MSCONS:D:04B:UN:2.4c,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0020,4,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+7+XXXXXXXX+9
BGM+7+XXXXXXXX+1
BGM+270+XXXXXXXX+9
BGM+270+XXXXXXXX+1
BGM+BK+XXXXXXXX+9
BGM+BK+XXXXXXXX+1
BGM+Z06+XXXXXXXX+9
BGM+Z06+XXXXXXXX+1
BGM+Z15+XXXXXXXX+9
BGM+Z15+XXXXXXXX+1
BGM+Z16+XXXXXXXX+9
BGM+Z16+XXXXXXXX+1
BGM+Z20+XXXXXXXX+9
BGM+Z20+XXXXXXXX+1
BGM+Z21+XXXXXXXX+9
BGM+Z21+XXXXXXXX+1
BGM+Z23+XXXXXXXX+9
BGM+Z23+XXXXXXXX+1
BGM+Z24+XXXXXXXX+9
BGM+Z24+XXXXXXXX+1
BGM+Z27+XXXXXXXX+9
BGM+Z27+XXXXXXXX+1
BGM+Z28+XXXXXXXX+9
BGM+Z28+XXXXXXXX+1
BGM+Z39+XXXXXXXX+9
BGM+Z39+XXXXXXXX+1","Prozessdatenbericht
Prozessdatenbericht (Storno)
Lieferschein
Lieferschein (Storno)
BK Zeitreihen im Rahmen der Bilanzkreisabrechnung
BK Zeitreihen im Rahmen der Bilanzkreisabrechnung (Storno)
normiertes Profil
normiertes Profil (Storno)
EEG-Überführungszeitreihe
EEG-Überführungszeitreihe (Storno)
Profilschar
Profilschar (Storno)
Vergangenheitswerte für TEP mit Referenzmessung
Vergangenheitswerte für TEP mit Referenzmessung (Storno)
Gasbeschaffenheitsdaten
Gasbeschaffenheitsdaten (Storno)
Bilanzierte Menge (MMMA)
Bilanzierte Menge (MMMA) (Storno)
Allokationsliste (MMMA)
Allokationsliste (MMMA) (Storno)
Bewegungsdaten im Kalenderjahr vor Lieferbeginn Energiemenge und Leistungsmaximum
Bewegungsdaten im Kalenderjahr vor Lieferbeginn Energiemenge und Leistungsmaximum (Storno)
Tägliche Summenzeitreihe
Tägliche Summenzeitreihe (Storno)",T,,"kategorie 1:1
dokumentennummer
nachrichtenfunktion 1:1",,,PROZESSLOGIK,BGM+7,"BGM+7
BGM+Z41","BGM+Z28
BGM+Z42",BGM+Z27,BGM+7,BGM+7,BGM+7,BGM+Z48,BGM+7,BGM+Z06,BGM+Z16,BGM+20,"BGM+BK
BGM+Z39",BGM+Z46,BGM+Z15,BGM+Z50,"BGM+Z43
BGM+Z69",BGM+Z45,BGM+Z44,BGM+Z21,BGM+Z24,BGM+Z23,"BGM+7
BGM+270
BGM+Z27
BGM+Z28
BGM+Z41
BGM+Z42"
,,,,,,,,,"BGM+Z41+XXXXXXXX+9
BGM+Z41+XXXXXXXX+1
BGM+Z42+XXXXXXXX+9
BGM+Z42+XXXXXXXX+1
BGM+Z43+XXXXXXXX+9
BGM+Z43+XXXXXXXX+1
BGM+Z44+XXXXXXXX+9
BGM+Z44+XXXXXXXX+1
BGM+Z45+XXXXXXXX+9
BGM+Z45+XXXXXXXX+1
BGM+Z46+XXXXXXXX+9
BGM+Z46+XXXXXXXX+1
BGM+Z48+XXXXXXXX+9
BGM+Z48+XXXXXXXX+1
BGM+Z50+XXXXXXXX+9
BGM+Z50+XXXXXXXX+1
BGM+Z69+XXXXXXXX+9
BGM+Z69+XXXXXXXX+1
BGM+Z83+XXXXXXXX+9
BGM+Z83+XXXXXXXX+1
BGM+Z85+XXXXXXXX+9
BGM+Z85+XXXXXXXX+1","Lieferschein Grund- / Arbeitspreis
Lieferschein Grund- / Arbeitspreis (Storno)
Lieferschein Arbeits- / Leistungspreis
Lieferschein Arbeits- / Leistungspreis (Storno)
Redispatch Ausfallarbeitsüberführungszeitreihe
Redispatch Ausfallarbeitsüberführungszeitreihe (Storno)
Redispatch Übermittlung von meteorologischen Daten
Redispatch Übermittlung von meteorologischen Daten (Storno)
Redispatch Einzelzeitreihe Ausfallarbeit
Redispatch Einzelzeitreihe Ausfallarbeit (Storno)
Redispatch Ausfallarbeitssummenzeitreihe
Redispatch Ausfallarbeitssummenzeitreihe (Storno)
Lastgang Marktlokation, Tranche
Lastgang Marktlokation, Tranche (Storno)
Redispatch EEG-Überführungszeitreihe aufgrund Ausfallarbeit
Redispatch EEG-Überführungszeitreihe aufgrund Ausfallarbeit (Storno)
Redispatch tägliche Ausfallarbeitsüberführungszeitreihe
Redispatch tägliche Ausfallarbeitsüberführungszeitreihe (Storno)
Werte nach Typ 2
Werte nach Typ 2 (Storno)
Grundlage POG-Ermittlung
Grundlage POG-Ermittlung (Storno)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,5,DTM,M,M,9,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0050,,SG1,C,D,9,1,1,Referenz,,,,,,,,,Soll,Soll,Soll,Muss,Soll,Soll,Soll,Soll,Soll,Soll,,,,,,,,Soll,,,Muss,Muss,Muss
0060,6,RFF,M,M,1,1,1,Referenzangaben,"RFF+AGI:AFNXXXX
RFF+ACW:XXXXXXXXXX","Beantragungsnummer
Referenznummer einer vorangegangenen Nachricht",T,,"anfrageReferenz
vorgangsreferenznummer (storno = true)",,,PROZESSLOGIK,"X
","X
","X
","X
","X
","X
","X
","X
","X
","X
",,,,,,,,"X
",,,"X
","X
","
X"
0070,7,DTM,C,D,9,1,2,Versionsangabe marktlokationsscharfe Allokationsliste Gas (MMMA),DTM+293:CCYYMMDDHHMMSSZZZ:304,Fertigstellungsdatum/-zeit,S,energiemenge,fertigstellungsdatum,,,,,,,,,,,,,,,,,,,,,,,,X,,
0050,,SG1,C,D,9,1,1,Referenz auf vorherige Stammdatenmeldung des MSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
