Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,19101,19102,19103,19104,19110,19115,19116,19117,19118,19119,19128,19129,19121,19122,19123,19124,19120,19127,19114,19001,19002,19015,19016,19003,19004,19005,19006,19007,19008,19009,19010,19011,19012,19013,19014,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+ORDRSP:D:10A:UN:1.4a,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+7+MKIDI5422
BGM+BK+MKIDI5422
BGM+Z10+MKIDI5422
BGM+Z11+MKIDI5422
BGM+Z12+MKIDI5422
BGM+Z13+MKIDI5422
BGM+Z14+MKIDI5422
BGM+Z23+MKIDI5422
BGM+Z24+MKIDI5422
BGM+Z28+MKIDI5422
BGM+Z29+MKIDI5422
BGM+Z30+MKIDI5422
BGM+Z31+MKIDI5422
BGM+Z34+MKIDI5422
BGM+Z48+MKIDI5422
BGM+Z51+MKIDI5422
BGM+Z52+MKIDI5422
BGM+Z55+MKIDI5422
BGM+Z56+MKIDI5422
BGM+Z57+MKIDI5422
BGM+Z68+MKIDI5422
BGM+Z72+MKIDI5422
BGM+Z73+MKIDI5422
BGM+Z74+MKIDI5422
BGM+Z76+MKIDI5422
BGM+Z91+MKIDI5422
BGM+Z93+MKIDI5422","Prozessdatenbericht
Zeitreihen im Rahmen der Bilanzkreisabrechnung
Geräteübernahme
Weiterverpflichtung zum Betrieb der Messlokation
Änderung der Technik der Lokation
Gerätewechselabsicht
Stammdaten der Markt- oder Messlokation
Bilanzierte Menge (MMMA)
Allokationsliste (MMMA)
Energiemenge und Leistungsmaximum
Abrechnung des Messstellenbetriebs vom MSB an den LF
Änderung Prognosegrundlage
Änderung Gerätekonfiguration
Reklamation von Werten
Lastgang Marktlokation, Tranche
Sperrung
Entsperrung
Reklamation der Übersicht der Definitionen oder einer Definition
Änderung individueller Konfiguration
Übermittlung von Werten an ESA
Änderung
Beendigung einer Konfiguration
Bestellung einer Konfiguration
Bestellung eines Angebots einer Konfiguration
Reklamation einer Konfiguration
Bestellung Än derung Abrechnungsdaten
Bestellung eines Angebots Änderung der Technik der Lokation","S
T","ANFRAGE
","anfragekategorie
dokumentennummer
kategorie","7 = PROZESSDATENBERICHT
BK = ZEITREIHEN_IM_RAHMEN_BILANZKREISABRECHNUNG
Z10 = GERAETEUEBERNAHME
Z11 = WEITERVERPFLICHTUNG_BETRIEB_MELO
Z12 = AENDERUNG_DER_TECHNIK_DER_LOKATION
Z13 = GERAETEWECHSELABSICHT
Z14 = STAMMDATEN_MALO_ODER_MELO
Z23 = BILANZIERTE_MENGE_MEHR_MINDER_MENGEN
Z24 = ALLOKATIONSLISTE_MEHR_MINDER_MENGEN
Z28 = ENERGIEMENGE_UND_LEISTUNGSMAXIMUM
Z29 = ABRECHNUNG_MESSSTELLENBETRIEB_MSB_AN_LF
Z30 = AENDERUNG_PROGNOSEGRUNDLAGE_GERAETEKONFIGURATION
Z31 = AENDERUNG_GERAETEKONFIGURATION
Z34 = REKLAMATION_VON_WERTEN
Z48 = LASTGANG_MALO_TRANCHE
Z51 = SPERRUNG
Z52 = ENTSPERRUNG
Z55 = REKLAMATION_DEFINITION
Z56 = AENDERUNG_INDIVIDUELLER_KONFIGURATION
Z57 = UEBERMITTLUNG_WERTE_AN_ESA
Z68 = AENDERUNG
Z72 = BEENDIGUNG_EINER_KONFIGURATION
Z73 = BESTELLUNG_EINER_KONFIGURATION
Z74 = BESTELLUNG_EINES_ANGEBOTS_EINER_KONFIGURATION
Z76 = REKLAMATION_EINER_KONFIGURATION
Z91 = BESTELLUNG_AENDERUNG_ABRECHNUNGSDATEN
Z93 = BESTELLUNG_ANGEBOT_AENDERUNG_TECHNIK_LOKATION
",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,3,DTM,M,M,35,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,4,DTM,M,D,35,1,1,Ausführungsdatum,DTM+203:CCYYMMDDHHMMZZZ:303,Ausführungsdatum/-zeit,S,auftrag,ausfuehrungsdatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,5,DTM,M,D,35,1,1,verschobener Abmeldetermin,DTM+Z02:CCYYMMDDHHMMZZZ:303,Verschobener Abmeldetermin,S,auftrag,verschobenerAbmeldetermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,6,DTM,M,D,35,1,1,geplanter Behebungszeitpunkt,DTM+292:CCYYMMDDHHMMZZZ:303,geplanter Behebungszeitpunkt,S,auftrag,behebungsZeitpunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,7,DTM,M,D,35,1,1,Startdatum oder Zeitpunkt,DTM+469:CCYYMMDDHHMMZZZ:303,"Startdatum oder -zeitpunkt, frühestes/r",S,auftrag,startdatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,8,DTM,M,D,35,1,1,Endedatum oder Zeitpunkt,DTM+472:CCYYMMDDHHMMZZZ:303,Endedatum oder Zeitpunkt,S,auftrag,enddatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
