Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,37000,37001,37002,,,,,,,,,,,,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+CS3TTZTT555558+PARTIN:D:20B:UN:1.0e,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,BGM+10+CS356455854555+++11,"10 Partnerstammdaten
Z87 Kommunikationsparameter API Steuerbefehl","T


S","


KOMMUNIKATIONSDATEN","kategorie
dokumentennummer

kommunikationsDatenBlattInaktiv = true (Code 11 vorhanden)",,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0030,3,DTM,M,M,5,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,137 Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0060,,SG1,C,R,5,1,1,Prüfidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,4,RFF,M,M,1,1,1,Prüfidentifikator,"RFF+Z13:37000
RFF+Z13:37001
RFF+Z13:37002
RFF+Z13:37003
RFF+Z13:37004
RFF+Z13:37005
RFF+Z13:37006
RFF+Z13:37007","37000 Übermittlung Kommunikationsdaten des LF
37001 Übermittlung Kommunikationsdaten des NB
37002 Übermittlung Kommunikationsdaten des MSB
37003 Übermittlung Kommunikationsdaten des BKV 
37004 Übermittlung Kommunikationsdaten des BIKO 
37005 Übermittlung Kommunikationsdaten des ÜNB 
37006 Übermittlung Kommunikationsdaten des ESA 
37007 Übermittlung Kommunikationsparameter",T,,pruefidentifikator,,,,37000,37001,37002,,,,,,,,,,,,,,,,,,,,
0060,,SG1,C,R,5,1,1,Version / Gültig Ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,5,RFF,M,M,1,1,1,Versionsnummer,RFF+AGK:::13,AGK Anwendungsreferenznummer,T,,anwendungsreferenznummer,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0080,6,DTM,C,D,1,1,2,Gültig Ab,DTM+157:202106070702?+00:303,"157 Gültigkeit, Beginndatum",S,kommunikationsdaten,gueltigkeit,,,,Soll,Soll,Soll,,,,,,,,,,,,,,,,,,,,
0060,,SG1,C,D,5,1,1,Vorgängerversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
