Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,LF -> NB,NB -> LF,NB -> LF,LF -> NB,NB -> LF,NB -> LF,NB -> LF,LF -> NB,LF -> NB,NB -> LFA,LFA -> NB,LFA -> NB,NB -> LFG,LFG -> NB,LFG -> NB,NB -> LF,LF -> NB,NB -> LF,NB <-> LF ,NB <-> LF,NB <-> LF,NB -> LF,NB -> ÜNB,NB -> LF,NB -> LF,NB -> LF,LF -> NB,NB -> LF,NB -> MSB,"LF -> NB
MSB -> NB",MSB -> NB,NB -> LF,"NB -> MSB
LF -> NB
MSB -> NB",LF -> NB,NB -> LF,"NB -> LF
NB -> MSB","LF -> NB
MSB -> NB",MSB -> NB,"NB -> LF
NB -> MSB","NB -> MSB
LF -> NB
MSB -> NB",NB -> LF,LF -> NB,NB -> LF,LF -> NB,LF -> NB,MSB -> NB,"NB -> LF
NB -> MSB",LF -> NB,MSB -> NB,NB -> LF/MSB,NB -> LF/MSB,NB -> MSB,NB -> MSB,MSB -> NB,NB -> LF,LF -> NB,LF -> NB,LF/MSB -> NB,NB -> LF/MSB,LF/MSB -> NB,NB -> LF/MSB,NB -> LF/MSB,NB -> MSB,NB -> MSB,MSB -> NB,LF -> NB,NB -> LF,NB -> LF,MSBN -> MSBA,MSBA -> MSBN,MSBA -> MSBN,MSB -> NB,NB -> MSB,NB -> MSB,NB -> gMSB,gMSB -> NB,gMSB -> NB,MSB -> NB,NB -> MSB,NB -> MSB,"NB -> MSB
NB -> ÜNB",NB -> MSB,NB -> MSB,NB -> LF,NB -> LF,LF -> NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,UNB,,,,,,,UNB+UNOC:3+9900321000005:500+9903790000002:500+240404:0942+689022',,,T,,datenaustauschreferenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,3,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+UTILMD:D:11A:UN:G1.0a,,,T,,nachrichtenreferenznummer,,,PROZESSLOGIK,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,4,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+E01+XXXXXXXXXX
BGM+E02+XXXXXXXXXX
BGM+E03+XXXXXXXXXX
BGM+E06+XXXXXXXXXX
BGM+E35+XXXXXXXXXX
BGM+E44+XXXXXXXXXX
BGM+Z02+XXXXXXXXXX
BGM+Z14+XXXXXXXXXX
BGM+Z22+XXXXXXXXXX
BGM+Z26+XXXXXXXXXX
BGM+Z40+XXXXXXXXXX","Anmeldungen
Abmeldungen
Änderungsmeldungen
Bestandsliste
Kündigung
Informationsmeldung
Deklarationsliste
Stammdaten der Markt- oder Messlokation
Netzbetreiberwechsel
Vorläufige Meldung zur Marktraumumstellung
Aufforderung",,T,,"kategorie 1:1
dokumentennummer 
",,,PROZESSLOGIK,E01,E01,E01,E02,E02,E02,E02,E02,E02,E02,E02,E02,E01,E01,E01,E06,E03,E03,"E01
E02
E35","E01
E02
E35",Z54,Z14,Z14,E44,E44,E44,E03,"E03
Z26","E03
Z26","E03
Z26",E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E35,E35,E35,E01,E01,E01,"E01
Z40",E01,E01,E02,E02,E02,Z14,Z22,Z22,Z22,Z22,Z22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,5,DTM,M,M,9,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZ:303,Nachrichtendatum/ -zeit,,T,,nachrichtendatum,UTC -> 303,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,6,DTM,M,D,9,1,1,"Gültigkeit, Beginndatum",DTM+157:CCYYMM:610,"Gültigkeit, Beginndatum Liste",,T,,gueltigAb,,?,z.B. DECLIST_DATA,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,,SG1,C,D,9,1,1,Referenz auf eine vorangegangene Anfrage,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080,7,RFF,M,M,1,1,1,Referenz auf eine vorangegangene Anfrage,RFF+AAV:XXXXXXXXXX,Referenz auf vorangegangene Anfrage,X,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,,SG2,C,R,99,1,1,MP-ID Absender,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110,8,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+XXXXXXXXXXXXX::332,Sender MP-ID,,T,absender,"rollencodenummer
rollencodetyp","9 = GLN
332 = DVGW",,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
