Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,LF -> NB,NB -> LF,NB -> LF,LF -> NB,NB -> LF,NB -> LF,NB -> LF,LF -> NB,LF -> NB,NB -> LFA,LFA -> NB,LFA -> NB,NB -> LFG,LFG -> NB,LFG -> NB,NB <-> LF ,NB <-> LF,NB <-> LF,NB -> LF,NB -> ÜNB,NB -> LF,NB -> LF,NB -> LF,LF -> NB,NB -> MSB,"NB -> LF
MSB -> NB",LF -> NB,NB -> LF,NB -> LF,NB -> MSB,"LF -> NB
MSB -> NB",NB -> LF,LF -> NB,NB -> LF,LF -> NB,MSB -> NB,NB -> LF,NB -> MSB,"NB -> MSB
LF -> NB
MSB -> NB",LF -> NB,NB -> LF,"NB -> LF
NB -> MSB","LF -> NB
MSB -> NB","NB -> LF
NB -> MSB","LF -> NB
MSB -> NB",MSB -> NB,"NB -> LF
NB -> MSB","NB -> MSB
LF -> NB
MSB -> NB",NB -> MSB,MSB -> NB,NB -> LF,LF -> NB,NB -> LF,LF an NB,ÜNB -> NB,NB -> LF,LF an NB,ÜNB -> NB,MSB -> NB,NB -> MSB,NB -> MSB,NB -> LF,NB -> LF,LF -> NB,NB -> LF,LF -> NB,LF -> NB,LF -> NB,MSB -> NB,"NB -> LF
NB -> MSB",LF -> NB,NB -> LF,NB -> LF,LF -> NB,NB -> LF,NB -> LF,LF -> NB,MSB -> NB,NB -> LF/MSB,NB -> LF/MSB,NB -> MSB,NB -> MSB,MSB -> NB,NB -> LF,LF -> NB,LF -> NB,LF -> NB,NB -> LF,NB -> LF,LF/MSB -> NB,NB -> LF/MSB,LF/MSB -> NB,NB -> LF/MSB,NB -> LF/MSB,NB -> MSB,NB -> MSB,MSB -> NB,MSB -> NB,NB -> MSB,LF -> NB,NB -> LF,NB -> LF,ÜNB -> NB,NB -> ÜNB,NB -> ÜNB,MSBN -> MSBA,MSBA -> MSBN,MSBA -> MSBN,MSB -> NB,NB -> MSB,NB -> MSB,NB -> gMSB,gMSB -> NB,gMSB -> NB,MSB -> NB,NB -> MSB,NB -> MSB,"NB -> MSB
NB -> ÜNB",NB (S) -> MSB (G),NB -> MSB,NB -> MSB,NB -> LF,NB -> LF,LF -> NB,NB -> LF,NB -> LF,LF -> NB,BKV -> NB,BKV -> NB,NB -> NB,NB -> ÜNB,NB -> NB,NB -> ÜNB,NB -> NB,NB -> NB,NB -> NB,NB -> LF,LF -> NB,NB -> NB,NB -> NB,MSB -> MSB,MSB -> NB,MSB -> LF,NB -> MSB,LF -> MSB,MSB -> MSB,LF -> MSB,MSB -> MSB,MSB -> MSB,MSB -> LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,UNB,,,,,,,UNB+UNOC:3+9900321000005:500+9903790000002:500+240404:0942+689022',,,T,,datenaustauschreferenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,3,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+UTILMD:D:11A:UN:S2.1,,,T,,nachrichtenreferenznummer,,,PROZESSLOGIK,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,4,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+E01+XXXXXXXXXX
BGM+E02+XXXXXXXXXX
BGM+E03+XXXXXXXXXX
BGM+Z14+XXXXXXXXXX
BGM+E35+XXXXXXXXXX
BGM+E44+XXXXXXXXXX
BGM+E40+XXXXXXXXXX
BGM+Z05+XXXXXXXXXX
BGM+Z07+XXXXXXXXXX
BGM+Z17+XXXXXXXXXX
BGM+Z18+XXXXXXXXXX
BGM+Z37+XXXXXXXXXX
BGM+Z40+XXXXXXXXXX
BGM+Z71+XXXXXXXXXX
BGM+Z88+XXXXXXXXXX
BGM+Z89+XXXXXXXXXX
BGM+Z90+XXXXXXXXXX","Anmeldungen
Abmeldungen
Änderungsmeldungen
Stammdaten der Markt- oder Messlokation
Kündigung
Informationsmeldung
Bilanzkreiszuordnungsliste
Clearingliste
Aktivierung/Deaktivierung von MaBiS-ZP
Zuordnungsermächtigung
Profildefinition
DZÜ-Liste
Aufforderung
Zuordnung ZP der NGZ zur NZR
Anfrage Datenclearing
Zuordnung zur Lokation
Beendigung der Zuordnung zur Lokation",,T,,"kategorie 1:1
dokumentennummer 
",,,PROZESSLOGIK,E01,E01,E01,E02,E02,E02,E02,E02,E02,E02,E02,E02,E01,E01,E01,"E01
E02
E35","E01
E02
E35",Z54,Z14,Z14,E44,E44,E44,E03,E03,E03,E03,E03,"E03
Z26","E03
Z26","E03
Z26",E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,Z38,Z38,Z38,Z38,Z38,Z38,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E03,E35,E35,E35,E01,E01,E01,"E01
Z40",E01,E01,E02,E02,E02,Z14,Z14,Z22,Z22,Z22,Z22,Z22,Z22,Z22,Z22,Z17,Z17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,5,DTM,M,M,9,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZ:303,Nachrichtendatum/ -zeit,,T,,nachrichtendatum,UTC -> 303,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,6,DTM,M,D,9,1,1,"Gültigkeit, Beginndatum",DTM+157:199904:610,"Gültigkeit, Beginndatum Liste",,T,,gueltigAb,,?,z.B. DECLIST_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070,,SG1,C,D,9,1,1,Referenz auf eine vorangegangene Anfrage,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080,7,RFF,M,M,1,1,1,Referenz auf eine vorangegangene Anfrage,RFF+AAV:XXXXXXXXXX,Referenz auf vorangegangene Anfrage,X,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,,SG2,C,R,99,1,1,MP-ID Absender,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
