Nummer,Nr.,Typ,Status,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,21000,21001,21002,21003,21004,21005,21007,21009,21010,21011,21012,21013,21015,21018,21024,21025,21026,21027,21036,21028,21029,21030,21031,21032,21033,21042,21034,21035,21039,21040,21041,21037,21038
,,UNB,,,,,,,,,,,,,,,MaBiS,MaBiS,MaBiS,MaBiS,MaBiS,MaBiS,,,,,,,,,,,,,,NV,,,,,,,,,,,,redispatch,redispatch
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+324j234poi+IFTSTA:D:18A:UN:2.0g,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,BGM+Z03+8531,"Z03 MaBiS Meldung(en)
Z09 WiM Meldung(en)
Z33 GPKE Meldung(en)
Z49 Redispatch Meldung(en)
Z72 - Beendigung einer Konfiguration
Z73 - Bestellung einer Konfiguration
Z86 - EnFG Informationen",T,,"kategorie 1:1
dokumentennummer",,,,Z03,Z03,Z03,Z03,Z03,Z03,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z33,Z33,Z33,Z33,Z33,Z49,Z49
0030,3,DTM,C,R,9,1,1,Dokumentendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0050,,SG1,C,R,9,1,1,MP-ID Empfänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,4,NAD,M,M,1,1,1,MP-ID Empfänger,"NAD+MR+9900259000002::9
NAD+MR+9900259000002::293
NAD+MR+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0050,,SG1,C,R,9,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,5,NAD,M,M,1,1,1,MP-ID Absender,"NAD+MS+9900259000002::9
NAD+MS+9900259000002::293
NAD+MS+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0070,,SG2,C,O,9,1,2,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080,6,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Informationskontakt,T,absender.ansprechpartner,nachname,,,,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann
0090,7,COM,C,R,9,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0160,,SG4,C,D,99999,99999,1,EQD-RFF-RFF-SG6-SG7-SG7-SG7-SG7-SG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,8,EQD,M,M,1,1,1,Einzelheiten zu Equipment,EQD+Z01+1,Laufende Nummer,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,9,RFF,C,R,999,1,2,Prüfidentifikator,RFF+Z13:21000,"21000 MaBiS / Statusmeldung vom LF an NB/ÜNB
21001 MaBiS / Statusmeldung vom NB an NB
21002 MaBiS / Abweisung vom BIKO an NB/ÜNB
21003 MaBiS / Statusmeldung vom BIKO an NB/ÜNB
21004 MaBiS / Statusmeldung vom BIKO an BKV/NB
21005 MaBiS / Statusmeldung vom BKV/NB an BIKO",,,,,,,21000,21001,21002,21003,21004,21005,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,10,RFF,C,R,999,1,2,Versionsangabe der betrachteten Summenzeitreihe,RFF+AUU:20110503121544?+00,Referenz auf eine Zeitreihe,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,,SG6,C,R,9,1,2,LOC-DTM-DTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310,11,LOC,M,M,1,1,2,Meldepunkt,LOC+172+DE0065239988901000000000008560083,Meldepunkt,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,12,DTM,C,R,9,1,3,Betrachtungszeitintervall,DTM+492:CCYYMM:610,"Bilanzierungsdatum, -zeit, -periode",,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,13,DTM,C,R,9,1,3,Zeitpunkt der Statusvergabe,DTM+334:CCYYMMDDHHMMSSZZZ:304,"Statusveränderung, Datum/Zeit",,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Prüfstatus Antwort auf Summenzeitreihen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,14,STS,M,M,1,1,2,Prüfstatus Antwort auf Summenzeitreihen,STS+Z01+Z08+A01:E_0007,"Z01 Prüfstatus Antwort auf Summenzeitreihen
+
Z07 Zeitreihe akzeptiert
Z08 Zeitreihe nicht akzeptiert
+
E_0007 EBD Nr. E_0007
E_0040 EBD Nr. E_0040
E_0041 EBD Nr. E_0041
E_0093 EBD Nr. E_0093",,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Abweisung der Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,15,STS,M,M,1,1,2,Abweisung der Summenzeitreihe,STS+Z02++A01:E_0008,"Z02 Abweisung der Summenzeitreihe
++
E_0007 EBD Nr. E_0007
E_0008 EBD Nr. E_0008
E_0023 EBD Nr. E_0023
E_0029 EBD Nr. E_0029
E_0036 EBD Nr. E_0036
E_0038 EBD Nr. E_0038
E_0040 EBD Nr. E_0040
E_0041 EBD Nr. E_0041
E_0062 EBD Nr. E_0062
E_0063 EBD Nr. E_0063
E_0064 EBD Nr. E_0064
E_0065 EBD Nr. E_0065
E_0073 EBD Nr. E_0073
E_0080 EBD Nr. E_0080
E_0093 EBD Nr. E_0093
E_0098 EBD Nr. E_0098
E_0099 EBD Nr. E_0099",,,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Prüfstatus zur Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,16,STS,M,M,1,1,2,Prüfstatus zur Summenzeitreihe,STS+Z03+Z08+A01:E_0062,"Z03 Prüfstatus zur Summenzeitreihe
+
Z07 Zeitreihe akzeptiert
Z08 Zeitreihe nicht akzeptiert 
+
E_0062 EBD Nr. E_0062
E_0063 EBD Nr. E_0063
E_0064 EBD Nr. E_0064
E_0065 EBD Nr. E_0065
E_0098 EBD Nr. E_0098
E_0099 EBD Nr. E_0099",,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
