Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,3,UNH,M,M,1,1,0,Nachrichtenanfang,UNH+1+INVOIC:D:06A:UN:2.8e,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0020,4,BGM,M,M,1,1,0,Rechnungsnummer,"BGM+380+INV12435422+9
BGM+380+INV12435422+7
BGM+389+INV12435422+9
BGM+389+INV12435422+7
BGM+457+INV12435422+9
BGM+457+INV12435422+7
BGM+Z25+INV12435422+9
BGM+Z25+INV12435422+7","Handelsrechnung Orginal
Handelsrechnung Dublikat
Selbst ausgestellte Rechnung Original
Selbst ausgestellte Rechnung Dublikat
Storno einer Belastung Original
Storno einer Belastung Dublikat
Storno für selbst ausgestellte Rechnung Original
Storno für selbst ausgestellte Rechnung Dublikat","T
S","kategorie/dokumentennummer
rechnung","istSelbstausgestellt
storno
rechnungsstatus ","istSelbstausgestellt:
380 -> false
389 -> true
457 -> false
Z25 -> true
storno:
380 -> false
389 -> false
457 -> true
Z25 -> true
original:
7 -> DUPLIKAT
9 -> ORIGINAL",,,"X
X





","X
X





","X
X





","X
X





","



X
X
X
X","X
X





","

X
X



","X
X





","

X
X



","X
X





","X
X





",,,,,,,,,,,,
0030,5,DTM,M,M,35,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,"T
S","
rechnung","Eingehend: nachrichtendatum

Ausgehend: rechnungsdatum",,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0030,6,DTM,M,R,35,1,1,Bearbeitungs-/Verarbeitungsdatum,DTM+9:CCYYMMDDHHMMZZZ:303,Bearbeitungs-/Verarbeitungsdatum/-zeit,S,rechnung,bearbeitungsdatum,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0030,7,DTM,M,D,35,1,1,Abrechnungszeitraum Beginn,DTM+155:CCYYMMDDHHMMZZZ:303,"Rechnungsperiode, Beginndatum",S ,rechnung.rechnungsperiode,startdatum,,,,,X,S,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0030,8,DTM,M,D,35,1,1,Abrechnungszeitraum Ende,DTM+156:CCYYMMDDHHMMZZZ:303,"Rechnungsperiode, Endedatum",S,rechnung.rechnungsperiode,enddatum,,,,,X,S,X,X,X,X,X,X,X,X,,,,,,,,,,,,
0030,9,DTM,M,D,35,1,1,vorläufiger Abrechnungszeitraum Beginn,DTM+Z42:CCYYMMDDHHMMZZZ:303,vorläufiger Abrechnungszeitraum Beginn,S,rechnung.vorlaeufigerAbrechnungszeitraum,startdatum,,,,X,,,,X,,,,,,,,,,,,,,,,,,
0030,10,DTM,M,D,35,1,1,vorläufiger Abrechnungszeitraum Ende,DTM+Z43:CCYYMMDDHHMMZZZ:303,vorläufiger Abrechnungszeitraum Ende,S,rechnung.vorlaeufigerAbrechnungszeitraum,enddatum,,,,X,,,,X,,,,,,,,,,,,,,,,,,
0030,11,DTM,M,D,35,1,1,Ausführungsdatum,"DTM+203:CCYYMMDDHHMMZZZ:303
DTM+203:CCYYMMDD:102",Ausführungsdatum/-zeit,S,rechnung,ausfuehrungsdatum,,,,,,S,,S,,,,,,"
X",,,,,,,,,,,,
0030,12,DTM,M,D,35,1,1,Beginn Bilanzierung,DTM+Z11:CCYYMMDDHHMMZZZ:303,Beginndatum Bilanzierung zugeordnete Periode,S,rechnung,beginnPeriodeBilanzierung,,,,,,,,,S,S,,,,,,,,,,,,,,,,
0030,13,DTM,M,D,35,1,1,Ende Netznutzung,DTM+Z12:CCYYMMDDHHMMZZZ:303,Ende Netznutzung zugeordnete Periode,S,rechnung,endePeriodeNetznutzung,,,,,,,,,S,S,,,,,,,,,,,,,,,,
