Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,17101,17126,17127,17102,17103,17104,17110,17114,17115,17116,17117,17119,17120,17122,17123,17121,17118,17113,17001,17009,17002,17003,17004,17005,17006,17007,17008,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+ORDERS:D:09B:UN:1.4b',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+7+MKIDI5422
BGM+E40+MKIDI5422
BGM+Z05+MKIDI5422
BGM+BK+MKIDI5422
BGM+Z10+MKIDI5422
BGM+Z11+MKIDI5422
BGM+Z12+MKIDI5422
BGM+Z13+MKIDI5422
BGM+Z14+MKIDI5422
BGM+Z19+MKIDI5422
BGM+Z23+MKIDI5422
BGM+Z24+MKIDI5422
BGM+Z28+MKIDI5422
BGM+Z29+MKIDI5422
BGM+Z30+MKIDI5422
BGM+Z31+MKIDI5422
BGM+Z34+MKIDI5422
BGM+Z45+MKIDI5422
BGM+Z48+MKIDI5422
BGM+Z51+MKIDI5422
BGM+Z52+MKIDI5422
BGM+Z55+MKIDI5422
BGM+Z56+MKIDI5422
BGM+Z57+MKIDI5422
BGM+Z58+MKIDI5422
BGM+Z61+MKIDI5422
BGM+Z62+MKIDI5422
BGM+Z68+MKIDI5422
BGM+Z72+MKIDI5422
BGM+Z73+MKIDI5422
BGM+Z74+MKIDI5422
BGM+Z76+MKIDI5422
BGM+Z91+MKIDI5422
BGM+Z92+MKIDI5422
BGM+Z93+MKIDI5422","Prozessdatenbericht
Bilanzkreiszuordnungsliste
Clearingliste
Zeitreihen im Rahmen der Bilanzkreisabrechnung
Geräteübernahme
Weiterverpflichtung zum Betrieb der Messlokation
Änderung der Technik der Lokation
Gerätewechselabsicht
Stammdaten der Markt- oder Messlokation
normiertes Profil/Profilschar
Bilanzierte Menge (MMMA)
Allokationsliste (MMMA)
Energiemenge und Leistungsmaximum
Abrechnung des Messstellenbetriebs vom MSB an den LF
Änderung Prognosegrundlage
Änderung Gerätekonfiguration
Reklamation von Werten
Redispatch Einzelzeitreihe Ausfallarbeit
Lastgang Marktlokation, Tranche
Sperrung
Entsperrung
Reklamation Übersicht oder einer ausgerollten Zählzeitdefinition
Änderung individueller Konfiguration
Übermittlung von Werten an ESA
Reklamation Profil/Profilschar
Stammdaten der Marktlokation
Stammdaten der Messlokation
Änderung
Beendigung einer Konfiguration
Bestellung einer Konfiguration
Bestellung eines Angebots einer Konfiguration
Reklamation einer Konfiguration
Bestellung Änderung Abrechnungsdaten
Einrichtung Konfiguration aufgrund Zuordnung LF
Bestellung eines Angebots Änderung der Technik der Lokation","T
-
S","
-
anfrage","
dokumentennummer
-
anfragekategorie (ENUMs)","7 = PROZESSDATENBERICHT
E40 = BILANZKREISZUORDNUNGSLISTE
Z05 = CLEARINGLISTE
BK = ZEITREIHEN_IM_RAHMEN_BILANZKREISABRECHNUNG
Z10 = GERAETEUEBERNAHME
Z11 = WEITERVERPFLICHTUNG_BETRIEB_MELO
Z12 = AENDERUNG_DER_TECHNIK_DER_LOKATION
Z13 = GERAETEWECHSELABSICHT
Z14 = STAMMDATEN_MALO_ODER_MELO
Z19 = NORMIERTES_PROFIL_PROFILSCHAR
Z23 = BILANZIERTE_MENGE_MEHR_MINDER_MENGEN
Z24 = ALLOKATIONSLISTE_MEHR_MINDER_MENGEN
Z28 = ENERGIEMENGE_UND_LEISTUNGSMAXIMUM
Z29 = ABRECHNUNG_MESSSTELLENBETRIEB_MSB_AN_LF
Z30 = AENDERUNG_PROGNOSEGRUNDLAGE_GERAETEKONFIGURATION
Z31 = AENDERUNG_GERAETEKONFIGURATION
Z34 = REKLAMATION_VON_WERTEN
Z45 = REDISPATCH_EINZELZEITREIHE_AUSFALLARBEIT
Z48 = LASTGANG_MALO_TRANCHE
Z51 = SPERRUNG
Z52 = ENTSPERRUNG
Z55 = REKLAMATION_DEFINITION
Z56 = AENDERUNG_INDIVIDUELLER_KONFIGURATION
Z57 = UEBERMITTLUNG_WERTE_AN_ESA
Z58 = REKLAMATION_PROFIL_PROFILSCHAR
Z61 = STAMMDATEN_MALO
Z62 = STAMMDATEN_MELO
Z68 = AENDERUNG
Z72 = BEENDIGUNG_EINER_KONFIGURATION
Z73 = BESTELLUNG_EINER_KONFIGURATION
Z74 = BESTELLUNG_EINES_ANGEBOTS_EINER_KONFIGURATION
Z76 = REKLAMATION_EINER_KONFIGURATION 
Z91 = BESTELLUNG_AENDERUNG_ABRECHNUNGSDATEN
Z92 = EINRICHTUNG_KONFIGURATION_AUFGRUND_ZUORDNUNG_LF
Z93 - BESTELLUNG_ANGEBOT_AENDERUNG_TECHNIK_LOKATION",,,Z61,Z62,Z63,"7
Z28
Z48",7,Z14,Z24,Z23,Z51,Z51,Z52,Z53,Z30,Z55,Z56,Z68,Z31,Z34,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,3,DTM,M,M,35,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,303 -> UTC,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
0030,4,DTM,M,D,35,1,1,Ausführungsdatum,DTM+203:CCYYMMDDHHMMZZZ:303,Ausführungsdatum/-zeit,S,auftrag,ausfuehrungsdatum,,,,,,,,,,,,x,x,,x,x,,x,x,x,,,,,,,,,,,,,,,,,
0030,5,DTM,M,D,35,1,1,verschobener Abmeldetermin,DTM+Z02:CCYYMMDDHHMMZZZ:303,Verschobener Abmeldetermin,S,auftrag,verschobenerAbmeldetermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,6,DTM,M,D,35,1,1,Betrachtungszeitintervall,DTM+273:CCYYMM:610,Gültigkeitszeitspanne,S,anfrage,gueltigkeitszeitspanne,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
