Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,15001,15002,15003,15004,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+QUOTES:D:10A:UN:1.3b,,,,,,,,x,x,x,,,,,,,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+310+MKIDI5422
BGM+Z29+MKIDI5422
BGM+Z57+MKIDI5422
BGM+Z74+MKIDI5422","310 Angebot
Z29 Abrechnung des Messstellenbetreibs vom MSB an den LF
Z57 Übermittlung von Werten an ESA
Z74 Bestellung eines Angebots einer Konfiguration",T,,"katetorie
dokumentennummer",,,,x,x,x,x,,,,,,,,,
0030,3,DTM,M,M,35,1,1,Nachrichtendatum,DTM+137:199904081315?+00:303,137 Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,,x,x,x,x,,,,,,,,,
0030,4,DTM,M,D,35,1,1,Datum zum geplanten Leistungsbeginn,DTM+76:200710012200?+00:303,"76 Lieferdatum/-zeit, geplant",S,angebot,angebotsdatum,,,,x,,,,,,,,,,,,
0030,5,DTM,M,D,35,1,1,Ausführungsdatum,DTM+203:200710012200?+00:303,203 Ausführungsdatum/-zeit,T,,ausfuehrungsdatum,,,,,x,,x,,,,,,,,,
0030,6,DTM,M,D,35,1,1,Beginn zum (nächstmöglichen Termin),DTM+469:200710012200?+00:303,"469 Startdatum oder -zeitpunkt, frühestes/r",T,,startdatum,,,,,x,x,x,,,,,,,,,
0030,7,DTM,M,D,35,1,1,Erforderliche Zeitspanne zur Einrichtung der Übermittlung von Werten ab Bestellung,"DTM+279:10:802
DTM+279:10:803
DTM+279:10:804","802 Monat
803 Woche
804 Tag",S,angebot.zeitspanneEinrichtungUebermittlungWerte,"dauer
einheit","802 = MONAT
803 = WOCHE
804 = TAG",,,,,Kann,,,,,,,,,,
0030,8,DTM,M,D,35,1,1,Gültigkeitsdauer (Bindungsfrist des Angebots),"DTM+273:10:802
DTM+273:10:803
DTM+273:10:804","802 Monat
803 Woche
804 Tag",S,angebot.bindefristAngebot,"dauer
einheit","802 = MONAT
803 = WOCHE
804 = TAG",,,,,x,,,,,,,,,,
0060,9,IMD,C,D,999,1,1,Produkt-/Leistungsbeschreibung,"IMD++Z07
IMD++Z08
IMD++Z33
IMD++Z34
IMD++Z55
IMD++Z64","Z07 Kauf
Z08 Nutzungsüberlassung
Z33 Angebot auf Basis Preisblatt
Z34 Individuelles Angebot
Z55 Änderung Konfiguration
Z64 Neukonfiguration",S,anfrage,anfragetyp,"Z07 -> KAUF
Z08 -> NUTZUNGSUEBERLASSUNG
Z33 -> ANGEBOT_AUF_BASIS_PREISBLATT
Z34 -> INDIVIDUELLES_ANGEBOT
Z55 -> AENDERUNG_KONFIGURATION
Z64 -> NEUKONFIGURATION",,,x,x,,x,,,,,,,,,
0080,10,FTX,C,D,99,1,1,Allgemeine Information (Feld für allgemeine Hinweise),FTX+ACB+++Text:Text2:Text3:Text4:Text5,ACB Zusätzliche Informationen (für allgemeine Hinweise),T,,freitext,,,,,,Kann,,,,,,,,,,
0100,,SG1,C,D,9999,1,1,Referenz der Anfrage,,,,,,,,,,,,,,,,,,,,,
0110,11,RFF,M,M,1,1,1,Nachrichtennummer der Anfrage,RFF+AAV:123456789,AAV Nummer der Anfrage,S,angebot,anfragereferenz,,,,x,Soll,x,x,,,,,,,,,
0100,,SG1,C,R,9999,1,1,Prüfidentifikator,,,,,,,,,,,,,,,,,,,,,
0110,12,RFF,M,M,1,1,1,Prüfidentifikator,"RFF+Z13:15001
RFF+Z13:15002
RFF+Z13:15003
RFF+Z13:15004","15001 Angebot Geräteübernahme
15002 Angebot Rechnungsabwicklung MSB über LF
15003 Angebot zur Anfrage von Werten für ESA
15004 Angebot zur Anfrage einer Konfiguration",T,,pruefidentifikator,,,,x,x,x,x,,,,,,,,,
0200,,SG4,C,D,5,1,1,Währungsangaben,,,,,,,,,,,,,,,,,,,,,
0210,13,CUX,M,M,1,1,1,Währungsangaben,CUX+2:EUR:4,,S,angebot.gesamtkosten,waehrung,,,,x,x,x,,,,,,,,,,
0530,,SG11,C,R,99,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,
0540,14,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+9900259000002::293,"9 GS1
293 DE, BDEW
332 DE, DVGW",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,,,,,,,,,
0640,,SG14,C,R,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,
0650,15,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:P GETTY,IC Informationskontakt,T,absender.ansprechpartner,nachname,,,,x,x,x,,,,,,,,,,
0660,16,COM,C,R,5,5,3,Kommunikationsverbindung,COM+003222271020:TE,"EM Elektronische Post
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,x,,,,,,,,,
0530,,SG11,C,R,99,1,1,MP-ID Empfänger,,,,,,,,,,,,,,,,,,,,,
0540,17,NAD,M,M,1,1,1,MP-ID Empfänger,NAD+MR+9900259000002::293,"9 GS1
293 DE, BDEW
332 DE, DVGW",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,,,,,,,,,
0530,,SG11,C,R,99,1,1,"Liefer-, bzw. Bezugsort",,,,,,,,,,,,,,,,,,,,,
0540,18,NAD,M,M,1,1,1,"Liefer-, bzw. Bezugsort",NAD+DP,DP Lieferanschrift,,,,,,,x,x,x,x,,,,,,,,,
0550,19,LOC,C,R,99,1,2,Meldepunkt,LOC+172+DE00014545768S0000000000000003054,172 Meldepunkt,S,"Auf jeweiliges BO:

marktlokation
tranche
messlokation
netzlokation
STEUERBARE_RESSOURCE","

marktlokationsId
tranchenId
messlokationsId
netzlokationsId
ressourcenId",,,,x,x,x,x,,,,,,,,,
1060,,SG27,M,D,200000,200000,1,Positionsteil,,,,,,,,,,,,,,,,,,,,,
1070,20,LIN,M,M,1,1,1,Positionsdaten,LIN+1++9990001000649:Z01,"Z01 Artikelnummer
Z09 Artikel-ID",S,angebot.positionsdaten,"positionsbezeichnung

artikelnummer (Z01 -> ENUM bdewArtikelnummer)

artikelId (Z09 -> 1:1)

","9990001000053 -> LEISTUNG
9990001000079 -> LEISTUNG_PAUSCHAL
9990001000087 -> GRUNDPREIS
9990001000128 -> REGELENERGIE_ARBEIT
9990001000136 -> REGELENERGIE_LEISTUNG
9990001000144 -> NOTSTROMLIEFERUNG_ARBEIT
9990001000152 -> NOTSTROMLIEFERUNG_LEISTUNG
9990001000160 -> RESERVENETZKAPAZITAET
9990001000178 -> RESERVELEISTUNG
9990001000186 -> ZUSAETZLICHE_ABLESUNG
9990001000219 -> PRUEFGEBUEHREN_AUSSERPLANMAESSIG
9990001000269 -> WIRKARBEIT
9990001000285 -> SINGULAER_GENUTZTE_BETRIEBSMITTEL
9990001000334 -> ABGABE_KWKG
9990001000376 -> ABSCHLAG
9990001000417 -> KONZESSIONSABGABE
9990001000433 -> ENTGELT_FERNAUSLESUNG
9990001000475 -> UNTERMESSUNG
9990001000508 -> BLINDMEHRARBEIT
9990001000532 -> ENTGELT_ABRECHNUNG
9990001000540 -> SPERRKOSTEN
9990001000558 -> ENTSPERRKOSTEN
9990001000566 -> MAHNKOSTEN
9990001000574 -> MEHR_MINDERMENGEN
9990001000582 -> INKASSOKOSTEN
9990001000590 -> BLINDMEHRLEISTUNG
9990001000615 -> ENTGELT_MESSUNG_ABLESUNG
9990001000623 -> ENTGELT_EINBAU_BETRIEB_WARTUNG_MESSTECHNIK
9990001000631 -> AUSGLEICHSENERGIE
9990001000805 -> AUSGLEICHSENERGIE_UNTERDECKUNG
9990001000649 -> ZAEHLEINRICHTUNG
9990001000657 -> WANDLER_MENGENUMWERTER
9990001000665 -> KOMMUNIKATIONSEINRICHTUNG
9990001000673 -> TECHNISCHE_STEUEREINRICHTUNG
9990001000681 -> PARAGRAF_19_STROM_NEV_UMLAGE
9990001000699 -> BEFESTIGUNGSEINRICHTUNG
9990001000706 -> OFFSHORE_HAFTUNGSUMLAGE
9990001000714 -> FIXE_ARBEITSENTGELTKOMPONENTE
9990001000722 -> FIXE_LEISTUNGSENTGELTKOMPONENTE
9990001000730 -> UMLAGE_ABSCHALTBARE_LASTEN
9990001000748 -> MEHRMENGE
9990001000756 -> MINDERMENGE
9990001000764 -> ENERGIESTEUER
9990001000772 -> SMARTMETER_GATEWAY
9990001000780 -> STEUERBOX
9990001000798 -> MSB_INKL_MESSUNG
9990001000813 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_1_MSBG
9990001000821 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_2_MSBG
9990001000839 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_3_MSBG
9990001000847 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_4_MSBG
9990001000855 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_5_MSBG
9990001000863 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_3_MSBG",,,x,x,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
