Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,33001,33002,33003,33004,,,,,,,,,,,,,,,,,,,
,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,3,UNH,M,M,1,1,0,Nachrichtenanfang,UNH+1+REMADV:D:05A:UN:2.9e,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,
0020,4,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+239+MSI5422
BGM+481+MSI5422","239 Abgelehnte Forderung (Nicht-Zahlungsavis)
481 Zahlungsavis","T



S","



AVIS","kategorie 1:1
dokumentennummer


avistyp
avisNummer","avisTyp
239 -> ABGELEHNTE_FORDERUNG
481 -> ZAHLUNGSAVIS",,,481,239,239,239,,,,,,,,,,,,,,,,,,,
0030,5,DTM,M,M,5,1,1,Dokumentendatum,DTM+137:202102072200?+00:303,CCYYMMDDHHMMZZZ,T,,nachrichtendatum,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,
0040,6,RFF,C,R,5,1,1,Prüfidentifikator,"RFF+Z13:33001
RFF+Z13:33002
RFF+Z13:33003
RFF+Z13:33004","33001 Bestätigung
33002 Abweisung
33003 Abweisung Kopf und Summe
33004 Abweisung Position",T,,pruefidentifikator,,,,33001,33002,33003,33004,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,R,99,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,7,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+1234567000008::9,"9 GS1
293 DE, BDEW
332 DE, DVGW",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,,,,,,,,,,,,,,,,,,,
0140,,SG3,C,O,5,1,2,Kontaktdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150,8,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Mustermann,IC Informationsstelle,T,absender.ansprechpartner,nachname,,,,Kann,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,
0160,9,COM,C,R,5,5,3,Kommunikationsverbindung,COM+003222271020:TE,"EM E-Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,x,,,,,,,,,,,,,,,,,,,
