Nummer,,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,25001,25003,25002,25004,25005,25006,25007,25008,25009
,,,,,,,,,,,,,,,,,"NB -> MSB
NB -> LF",MSB -> NB,MSB -> NB,"NB -> MSB
NB -> LF
LF -> MSB","NB -> MSB
NB -> LF
LF -> MSB","NB -> LF 
NB -> MSB
LF -> MSB","NB -> LF
NB -> MSB
LF -> NB
LF -> MSB","NB -> LF
NB -> MSB
LF -> NB
LF -> MSB","NB -> LF
NB -> MSB
LF -> NB
LF -> MSB"
0010,3,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+1+UTILTS:D:18A:UN:1.1e,,,,,,,,Muss,Muss,Muss,Muss,Muss,,,,
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,"BGM+Z36+MKIDI5422
BGM+Z59+MKIDI5422
BGM+Z60+MKIDI5422
BGM+Z81+MKIDI5422
BGM+Z80+MKIDI5422
BGM+Z79+MKIDI5422
BGM+Z78+MKIDI5422","Berechnungsformel
Ausgerollte Zählzeitdefinition
Übersicht Zählzeitdefinition
Z81 - Ausgerollte Leistungskurvendefinition
Z80 - Ausgerollte Schaltzeitdefinition
Z79 - Übersicht Leistungskurvendefinitionen
Z78 - Übersicht Schaltzeitdefinitionen",T,,"kategorie 1:1
dokumentennummer ",,,,"X

","X

","X

","

X","
X
",,,,
0030,3,DTM,M,M,9,1,1,Nachrichtendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,UTC -> 303,,,X,X,X,X,X,,,,
0090,,SG2,C,R,99,1,1,MP-ID Absender,,,,,,,,,Muss,Muss,Muss,Muss,Muss,,,,
0100,4,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+XXXXXXXXXXXXX::293,Sender MP-ID,T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,X,X,X,X,X,,,,
0130,,SG3,C,D,9,1,2,Kontaktinformationen,,,,,,,,,Muss,Kann,Muss,Muss,Muss,,,,
0140,5,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Ansprechpartner Name,T,absender.ansprechpartner,nachname,,,,X,X,X,X,X,,,,
0150,6,COM,C,R,9,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,X,X,X,X,X,,,,
0090,,SG2,C,R,99,1,1,MP-ID Empfänger,,,,,,,,,Muss,Muss,Muss,Muss,Muss,,,,
